opportunity_id,customer_account,product_group,mrr,stage,forecast_category,rep,sales_channel,created_date,close_date
OPP-00198,CloudFirst,Colocation,189.98,Closed Won,Closed,Chris Weber,Channel,06/06/2024,10/14/2024
OPP-00203,SkyBridge Networks,Cloud Connect,748.34,Closed Won,Closed,Chris Weber,Direct,01/14/2025,03/09/2025
OPP-00204,GridForce,Cloud Connect,24.53,5 - Accepted,Closed,Lisa Chen,Channel,01/04/2026,03/03/2026
OPP-00208,PulseNet,Wavelengths,978.16,5 - Accepted,Closed,Sarah Mitchell,Agent,04/28/2025,06/02/2025
OPP-00210,Quantum Networks,DDoS Protection,636.02,Closed Won,Closed,Chris Weber,Channel,06/05/2025,12/02/2025
OPP-00216,GoldGrid,SD-WAN,1326.49,5 - Accepted,Closed,Lisa Chen,Agent,04/20/2025,07/25/2025
OPP-00218,IronGate Tech,Managed Services,289.57,Closed Won,Closed,Ryan O'Brien,Agent,11/20/2025,02/26/2026
OPP-00219,TerraLink,Dark Fiber,482.22,Closed Won,Closed,David Park,Channel,04/11/2025,06/08/2025
OPP-00220,CoreConnect,SD-WAN,208.8,5 - Accepted,Closed,David Park,Channel,06/04/2024,09/19/2024
OPP-00226,TerraLink,Wavelengths,619.76,5 - Accepted,Closed,Jessica Kim,Agent,03/21/2025,08/20/2025
OPP-00229,Summit Cloud,IP Transit,138.1,Closed Won,Closed,Amy Rodriguez,Direct,06/27/2025,09/02/2025
OPP-00231,ClearPath,Wavelengths,219.96,Closed Won,Closed,Mark Thompson,Agent,07/04/2025,09/16/2025
OPP-00236,CopperLine,Wavelengths,297.75,Closed Won,Closed,Mark Thompson,Channel,04/19/2025,08/19/2025
OPP-00240,FlexNet Solutions,Dark Fiber,730.84,5 - Accepted,Closed,David Park,Direct,08/07/2025,01/09/2026
OPP-00248,OmniConnect,Wavelengths,397.0,Closed Won,Closed,Ryan O'Brien,Channel,01/02/2025,04/13/2025
OPP-00258,Pinnacle IT,Wavelengths,300.56,Closed Won,Closed,Jose Banales,Agent,08/13/2025,12/12/2025
OPP-00261,PulseNet,Wavelengths,2850.2,5 - Accepted,Closed,Jose Banales,Agent,12/08/2024,02/03/2025
OPP-00265,DataSync Labs,Colocation,242.09,5 - Accepted,Closed,Chris Weber,Direct,04/03/2025,05/18/2025
OPP-00272,CoreConnect,MPLS,266.48,5 - Accepted,Closed,Sarah Mitchell,Direct,10/16/2024,02/23/2025
OPP-00274,Apex Digital,IP Transit,660.52,Closed Won,Closed,Sarah Mitchell,Agent,09/12/2024,10/04/2024
OPP-00275,Zenith Systems,Managed Services,834.87,Closed Won,Closed,Ryan O'Brien,Agent,03/30/2024,04/29/2024
OPP-00278,TerraLink,DDoS Protection,354.06,5 - Accepted,Closed,Mark Thompson,Channel,12/06/2025,02/26/2026
OPP-00281,Summit Cloud,Cloud Connect,38.21,Closed Won,Closed,Chris Weber,Channel,07/14/2025,12/11/2025
OPP-00284,EchoPoint,SD-WAN,60.75,Closed Won,Closed,Mark Thompson,Channel,02/20/2025,08/11/2025
OPP-00294,SilverStream,DDoS Protection,265.38,Closed Won,Closed,Mark Thompson,Direct,09/22/2025,12/13/2025
OPP-00296,FlexNet Solutions,MPLS,2605.98,5 - Accepted,Closed,Jessica Kim,Direct,07/14/2024,10/15/2024
OPP-00298,Atlas Computing,SD-WAN,109.98,Closed Won,Closed,Lisa Chen,Channel,09/23/2025,01/21/2026
OPP-00301,PulseNet,IP Transit,67.35,5 - Accepted,Closed,Lisa Chen,Direct,02/08/2025,03/12/2025
OPP-00310,SwiftNode,IP Transit,2094.73,5 - Accepted,Closed,Jessica Kim,Agent,01/03/2025,01/25/2025
OPP-00316,SilverStream,DDoS Protection,306.72,5 - Accepted,Closed,Amy Rodriguez,Agent,04/23/2024,10/04/2024
OPP-00318,SignalBridge,Colocation,1154.32,5 - Accepted,Closed,Mark Thompson,Channel,09/21/2024,12/30/2024
OPP-00324,IronGate Tech,Managed Services,1245.75,5 - Accepted,Closed,Chris Weber,Direct,04/05/2024,04/21/2024
OPP-00325,NexGen Telecom,Ethernet,224.57,5 - Accepted,Closed,Amy Rodriguez,Channel,09/01/2025,02/15/2026
OPP-00328,VectorData,Colocation,556.97,Closed Won,Closed,Nicole Foster,Direct,07/14/2024,11/12/2024
OPP-00331,FiberLink,Managed Services,245.79,Closed Won,Closed,Lisa Chen,Agent,08/29/2024,09/23/2024
OPP-00335,Quantum Networks,Cloud Connect,187.8,5 - Accepted,Closed,Amy Rodriguez,Direct,07/20/2025,11/19/2025
OPP-00341,NetScale Systems,Managed Services,476.9,Closed Won,Closed,Amy Rodriguez,Direct,11/13/2024,12/18/2024
OPP-00343,FiberLink,DDoS Protection,5306.05,Closed Won,Closed,Chris Weber,Direct,10/14/2025,12/20/2025
OPP-00351,SilverStream,Colocation,78.38,Closed Won,Closed,David Park,Agent,01/09/2025,04/22/2025
OPP-00360,Summit Cloud,IP Transit,4206.49,Closed Won,Closed,Chris Weber,Agent,02/20/2025,06/07/2025
OPP-00366,DataSync Labs,Wavelengths,492.65,Closed Won,Closed,Sarah Mitchell,Direct,12/07/2024,04/05/2025
OPP-00367,TerraLink,Managed Services,492.74,Closed Won,Closed,Chris Weber,Channel,12/11/2025,01/11/2026
OPP-00369,TerraLink,DDoS Protection,127.32,5 - Accepted,Closed,Jose Banales,Channel,01/17/2025,07/16/2025
OPP-00370,SkyBridge Networks,Dark Fiber,1707.02,5 - Accepted,Closed,Ryan O'Brien,Agent,01/24/2025,04/02/2025
OPP-00379,CoreConnect,Managed Services,3651.87,Closed Won,Closed,Ryan O'Brien,Agent,12/06/2025,02/01/2026
OPP-00381,ByteWorks,Managed Services,481.33,Closed Won,Closed,Lisa Chen,Direct,04/19/2025,09/01/2025
OPP-00387,Titanium Labs,IP Transit,644.65,5 - Accepted,Closed,Jose Banales,Direct,04/06/2024,07/02/2024
OPP-00391,GoldGrid,MPLS,11473.03,5 - Accepted,Closed,Jose Banales,Agent,09/21/2025,10/06/2025
OPP-00393,OmniConnect,MPLS,628.59,Closed Won,Closed,Nicole Foster,Direct,12/06/2024,02/07/2025
OPP-00394,Acme Corp,Dark Fiber,709.84,Closed Won,Closed,Nicole Foster,Agent,03/23/2025,05/04/2025
OPP-00396,Pinnacle IT,IP Transit,818.88,5 - Accepted,Closed,Amy Rodriguez,Agent,04/29/2025,06/18/2025
OPP-00399,ByteWorks,Cloud Connect,658.39,5 - Accepted,Closed,Sarah Mitchell,Agent,11/19/2025,12/18/2025
OPP-00401,ByteWorks,MPLS,187.16,Closed Won,Closed,Mark Thompson,Agent,02/01/2026,03/05/2026
OPP-00404,Summit Cloud,SD-WAN,710.04,5 - Accepted,Closed,Ryan O'Brien,Agent,02/28/2025,07/10/2025
OPP-00405,Atlas Computing,MPLS,647.39,Closed Won,Closed,Jose Banales,Channel,02/04/2025,06/04/2025
OPP-00408,NexGen Telecom,SD-WAN,182.59,5 - Accepted,Closed,Lisa Chen,Direct,06/06/2024,10/25/2024
OPP-00411,PulseNet,Managed Services,516.58,Closed Won,Closed,Sarah Mitchell,Agent,12/05/2025,02/24/2026
OPP-00420,ByteWorks,Cloud Connect,172.72,5 - Accepted,Closed,Amy Rodriguez,Agent,03/24/2025,09/05/2025
OPP-00421,Cascade Networks,Managed Services,632.15,Closed Won,Closed,Chris Weber,Direct,09/04/2024,12/29/2024
OPP-00422,FiberLink,Wavelengths,47.7,5 - Accepted,Closed,Sarah Mitchell,Channel,06/12/2024,10/04/2024
OPP-00426,SwiftNode,SD-WAN,492.05,Closed Won,Closed,Amy Rodriguez,Channel,08/04/2024,11/15/2024
OPP-00428,FlexNet Solutions,MPLS,311.39,5 - Accepted,Closed,Lisa Chen,Direct,01/08/2026,02/19/2026
OPP-00429,TerraLink,Ethernet,71.93,5 - Accepted,Closed,David Park,Direct,12/18/2024,04/17/2025
OPP-00432,Quantum Networks,IP Transit,988.08,5 - Accepted,Closed,Jose Banales,Channel,08/14/2024,09/12/2024
OPP-00433,PrimeRoute,DDoS Protection,42.14,5 - Accepted,Closed,Sarah Mitchell,Agent,06/14/2025,08/31/2025
OPP-00437,CopperLine,Managed Services,403.22,Closed Won,Closed,Nicole Foster,Direct,02/27/2025,08/21/2025
OPP-00441,PrimeRoute,MPLS,1693.41,5 - Accepted,Closed,Ryan O'Brien,Direct,06/25/2025,07/10/2025
OPP-00444,Cascade Networks,Wavelengths,390.17,Closed Won,Closed,Jose Banales,Direct,10/23/2025,02/19/2026
OPP-00450,Apex Digital,MPLS,238.34,5 - Accepted,Closed,Lisa Chen,Agent,04/28/2025,05/13/2025
OPP-00452,Summit Cloud,Colocation,153.98,5 - Accepted,Closed,Nicole Foster,Agent,11/04/2025,01/21/2026
OPP-00457,Zenith Systems,Managed Services,805.89,5 - Accepted,Closed,Nicole Foster,Agent,02/25/2025,04/02/2025
OPP-00458,Pinnacle IT,MPLS,771.41,5 - Accepted,Closed,Jose Banales,Agent,08/03/2024,12/19/2024
OPP-00463,EchoPoint,Ethernet,1353.61,5 - Accepted,Closed,Lisa Chen,Agent,04/07/2025,09/18/2025
OPP-00464,Cascade Networks,Dark Fiber,77.05,5 - Accepted,Closed,David Park,Direct,12/20/2024,04/06/2025
OPP-00469,GoldGrid,Ethernet,1418.85,5 - Accepted,Closed,Chris Weber,Direct,09/24/2025,11/11/2025
OPP-00474,RedRock Data,Managed Services,70.96,Closed Won,Closed,Mark Thompson,Direct,10/11/2024,12/17/2024
OPP-00475,NetScale Systems,IP Transit,1625.95,5 - Accepted,Closed,Jessica Kim,Agent,04/29/2024,10/16/2024
OPP-00477,SwiftNode,Managed Services,515.68,Closed Won,Closed,Jose Banales,Direct,12/23/2025,01/19/2026
OPP-00484,LinkStream,MPLS,126.34,Closed Won,Closed,Jessica Kim,Channel,12/12/2025,02/28/2026
OPP-00485,LinkStream,Dark Fiber,3595.29,Closed Won,Closed,Mark Thompson,Direct,11/25/2025,02/24/2026
OPP-00486,ClearPath,Wavelengths,846.69,5 - Accepted,Closed,Jose Banales,Direct,11/17/2025,02/20/2026
OPP-00488,IronGate Tech,Colocation,221.46,5 - Accepted,Closed,Sarah Mitchell,Channel,10/18/2024,12/25/2024
OPP-00491,RedRock Data,Managed Services,540.67,Closed Won,Closed,Mark Thompson,Agent,10/16/2024,04/06/2025
OPP-00493,Summit Cloud,Colocation,1343.42,5 - Accepted,Closed,Amy Rodriguez,Direct,04/16/2024,06/14/2024
OPP-00501,DataSync Labs,MPLS,579.26,5 - Accepted,Closed,Sarah Mitchell,Channel,10/09/2024,12/12/2024
OPP-00505,CloudFirst,Wavelengths,571.5,5 - Accepted,Closed,Chris Weber,Direct,10/06/2024,03/06/2025
OPP-00507,ByteWorks,Ethernet,1376.54,Closed Won,Closed,Mark Thompson,Agent,02/13/2025,06/24/2025
OPP-00516,IronGate Tech,MPLS,340.65,5 - Accepted,Closed,Chris Weber,Agent,09/11/2024,01/25/2025
OPP-00519,TerraLink,Cloud Connect,1028.03,5 - Accepted,Closed,Lisa Chen,Direct,08/13/2025,11/04/2025
OPP-00520,BluePeak,Colocation,649.11,5 - Accepted,Closed,Nicole Foster,Channel,07/24/2025,08/28/2025
OPP-00522,EchoPoint,MPLS,353.72,Closed Won,Closed,David Park,Agent,07/11/2025,12/19/2025
OPP-00523,ClearPath,DDoS Protection,1177.27,5 - Accepted,Closed,Amy Rodriguez,Channel,05/19/2024,11/11/2024
OPP-00536,PrimeRoute,DDoS Protection,281.03,Closed Won,Closed,Amy Rodriguez,Channel,05/18/2024,08/07/2024
OPP-00538,IronGate Tech,Ethernet,490.77,5 - Accepted,Closed,Nicole Foster,Agent,06/17/2025,07/06/2025
OPP-00542,FlexNet Solutions,Ethernet,204.61,Closed Won,Closed,Mark Thompson,Agent,07/05/2024,12/28/2024
OPP-00543,OmniConnect,Managed Services,42.34,Closed Won,Closed,Sarah Mitchell,Agent,11/15/2025,01/30/2026
OPP-00545,ClearPath,Dark Fiber,539.51,5 - Accepted,Closed,Amy Rodriguez,Agent,11/11/2024,12/14/2024
OPP-00551,LinkStream,IP Transit,511.04,Closed Won,Closed,David Park,Agent,09/18/2024,02/07/2025
OPP-00559,PrimeRoute,IP Transit,178.0,5 - Accepted,Closed,Sarah Mitchell,Channel,08/25/2024,02/19/2025
OPP-00567,CloudFirst,Colocation,288.43,Closed Won,Closed,Amy Rodriguez,Direct,10/11/2025,11/12/2025
OPP-00568,StarForge,Ethernet,2900.63,5 - Accepted,Closed,Mark Thompson,Channel,10/18/2024,12/29/2024
OPP-00571,GridForce,Managed Services,132.87,Closed Won,Closed,Sarah Mitchell,Direct,08/16/2024,01/05/2025
OPP-00572,WavePoint,Ethernet,367.73,Closed Won,Closed,Ryan O'Brien,Agent,01/07/2026,01/27/2026
OPP-00583,SkyBridge Networks,DDoS Protection,938.22,5 - Accepted,Closed,Amy Rodriguez,Direct,05/17/2025,09/22/2025
OPP-00587,HorizonIO,Managed Services,145.81,Closed Won,Closed,Ryan O'Brien,Agent,01/02/2026,03/02/2026
OPP-00593,CopperLine,Cloud Connect,40.83,5 - Accepted,Closed,Mark Thompson,Direct,08/31/2024,10/11/2024
OPP-00595,NetScale Systems,Wavelengths,106.52,5 - Accepted,Closed,Mark Thompson,Direct,11/19/2025,02/21/2026
OPP-00598,DigiPath,SD-WAN,148.31,Closed Won,Closed,Jose Banales,Direct,06/18/2024,08/09/2024
OPP-00608,RedRock Data,Ethernet,401.84,Closed Won,Closed,Mark Thompson,Direct,09/17/2024,01/07/2025
OPP-00611,Apex Digital,DDoS Protection,1040.52,5 - Accepted,Closed,Jessica Kim,Channel,06/02/2025,07/21/2025
OPP-00616,HorizonIO,Wavelengths,707.95,5 - Accepted,Closed,Amy Rodriguez,Direct,08/27/2025,12/27/2025
OPP-00617,PrimeRoute,Dark Fiber,269.03,5 - Accepted,Closed,Jessica Kim,Agent,07/31/2025,09/09/2025
OPP-00619,NetScale Systems,Colocation,2143.66,5 - Accepted,Closed,Lisa Chen,Channel,06/20/2024,11/30/2024
OPP-00621,Summit Cloud,SD-WAN,140.25,5 - Accepted,Closed,Chris Weber,Agent,02/03/2026,03/12/2026
OPP-00623,Titanium Labs,Dark Fiber,3511.06,Closed Won,Closed,Ryan O'Brien,Direct,06/06/2025,10/04/2025
OPP-00624,Apex Digital,Wavelengths,114.74,Closed Won,Closed,Lisa Chen,Channel,05/07/2025,07/22/2025
OPP-00626,DataSync Labs,Ethernet,599.69,5 - Accepted,Closed,Mark Thompson,Channel,04/30/2024,09/16/2024
OPP-00630,LinkStream,IP Transit,117.67,5 - Accepted,Closed,Sarah Mitchell,Direct,08/02/2025,12/31/2025
OPP-00635,FiberLink,IP Transit,365.43,5 - Accepted,Closed,David Park,Agent,05/10/2024,11/05/2024
OPP-00641,GridForce,SD-WAN,101.08,Closed Won,Closed,David Park,Agent,05/20/2025,07/20/2025
OPP-00643,Atlas Computing,Wavelengths,1543.57,5 - Accepted,Closed,Jose Banales,Channel,05/25/2025,11/08/2025
OPP-00644,VectorData,Wavelengths,367.72,Closed Won,Closed,Sarah Mitchell,Agent,11/28/2025,02/23/2026
OPP-00646,CoreConnect,Wavelengths,379.55,Closed Won,Closed,Amy Rodriguez,Agent,12/30/2024,04/16/2025
OPP-00648,WavePoint,Colocation,110.88,Closed Won,Closed,Jessica Kim,Direct,07/09/2025,11/12/2025
OPP-00650,OmniConnect,Wavelengths,593.79,5 - Accepted,Closed,Lisa Chen,Channel,10/21/2024,04/03/2025
OPP-00651,Acme Corp,Colocation,10233.68,5 - Accepted,Closed,Nicole Foster,Direct,04/13/2024,07/09/2024
OPP-00655,Quantum Networks,Dark Fiber,87.01,Closed Won,Closed,Lisa Chen,Direct,06/03/2025,09/05/2025
OPP-00656,SilverStream,IP Transit,334.81,Closed Won,Closed,Amy Rodriguez,Agent,07/18/2025,10/09/2025
OPP-00660,FlexNet Solutions,MPLS,418.78,Closed Won,Closed,Jose Banales,Agent,07/06/2025,12/13/2025
OPP-00665,Zenith Systems,SD-WAN,663.23,Closed Won,Closed,Sarah Mitchell,Direct,04/14/2024,06/21/2024
OPP-00668,GridForce,SD-WAN,1349.63,5 - Accepted,Closed,Nicole Foster,Channel,10/06/2025,01/03/2026
OPP-00683,StarForge,SD-WAN,849.41,Closed Won,Closed,Amy Rodriguez,Channel,10/14/2024,03/17/2025
OPP-00689,FiberLink,IP Transit,369.35,Closed Won,Closed,Chris Weber,Channel,03/31/2025,08/27/2025
OPP-00693,FlexNet Solutions,Dark Fiber,183.49,5 - Accepted,Closed,Ryan O'Brien,Direct,08/11/2024,10/01/2024
OPP-00695,OmniConnect,Wavelengths,336.25,5 - Accepted,Closed,Jose Banales,Channel,11/28/2025,01/15/2026
OPP-00702,SignalBridge,SD-WAN,40.97,5 - Accepted,Closed,Mark Thompson,Direct,01/17/2025,05/11/2025
OPP-00707,NexGen Telecom,Colocation,589.01,5 - Accepted,Closed,Chris Weber,Agent,05/18/2024,10/03/2024
OPP-00708,PrimeRoute,MPLS,577.1,Closed Won,Closed,David Park,Agent,05/03/2024,06/28/2024
OPP-00718,SkyBridge Networks,Colocation,444.78,5 - Accepted,Closed,Jose Banales,Agent,04/23/2025,06/26/2025
OPP-00728,EchoPoint,IP Transit,3002.52,5 - Accepted,Closed,Mark Thompson,Channel,01/20/2026,03/13/2026
OPP-00734,ClearPath,Colocation,726.46,5 - Accepted,Closed,Lisa Chen,Direct,07/09/2024,10/18/2024
OPP-00735,LinkStream,SD-WAN,854.96,Closed Won,Closed,Jessica Kim,Direct,04/09/2025,07/28/2025
OPP-00736,Apex Digital,MPLS,1134.3,Closed Won,Closed,Chris Weber,Agent,08/17/2024,11/23/2024
OPP-00739,Cascade Networks,Managed Services,354.66,Closed Won,Closed,Jessica Kim,Channel,10/27/2024,01/28/2025
OPP-00742,RedRock Data,Cloud Connect,643.48,5 - Accepted,Closed,David Park,Channel,06/10/2024,09/08/2024
OPP-00743,Summit Cloud,Colocation,159.01,Closed Won,Closed,Ryan O'Brien,Agent,01/21/2025,04/16/2025
OPP-00747,StarForge,Dark Fiber,402.94,Closed Won,Closed,Amy Rodriguez,Direct,03/16/2025,06/25/2025
OPP-00750,NetScale Systems,Colocation,608.82,5 - Accepted,Closed,Chris Weber,Direct,09/09/2024,10/20/2024
OPP-00752,Cascade Networks,Wavelengths,1417.9,5 - Accepted,Closed,Jessica Kim,Direct,08/25/2024,10/07/2024
OPP-00759,LinkStream,Managed Services,420.33,Closed Won,Closed,Chris Weber,Agent,05/11/2025,09/18/2025
OPP-00760,SignalBridge,SD-WAN,154.0,5 - Accepted,Closed,Lisa Chen,Agent,10/03/2024,01/27/2025
OPP-00764,LinkStream,Dark Fiber,291.33,Closed Won,Closed,Ryan O'Brien,Direct,05/10/2024,10/25/2024
OPP-00767,Summit Cloud,Wavelengths,1768.77,Closed Won,Closed,Amy Rodriguez,Channel,05/30/2025,07/14/2025
OPP-00768,ByteWorks,Ethernet,74.84,5 - Accepted,Closed,Sarah Mitchell,Channel,12/28/2024,06/20/2025
OPP-00772,GoldGrid,Wavelengths,197.44,Closed Won,Closed,Jose Banales,Direct,11/16/2024,05/03/2025
OPP-00775,TerraLink,Colocation,134.8,5 - Accepted,Closed,Amy Rodriguez,Direct,12/27/2025,02/16/2026
OPP-00777,SignalBridge,Ethernet,182.86,5 - Accepted,Closed,Lisa Chen,Channel,03/21/2025,07/15/2025
OPP-00779,TerraLink,DDoS Protection,158.92,Closed Won,Closed,Sarah Mitchell,Channel,06/25/2025,09/20/2025
OPP-00780,TerraLink,Colocation,860.83,5 - Accepted,Closed,Nicole Foster,Channel,05/06/2025,09/04/2025
OPP-00784,VectorData,MPLS,14420.61,Closed Won,Closed,Jessica Kim,Agent,04/29/2025,10/11/2025
OPP-00785,Quantum Networks,Colocation,404.58,5 - Accepted,Closed,Lisa Chen,Channel,04/13/2025,09/25/2025
OPP-00787,HorizonIO,Dark Fiber,468.13,5 - Accepted,Closed,Mark Thompson,Channel,06/02/2025,07/30/2025
OPP-00790,SignalBridge,Wavelengths,355.21,5 - Accepted,Closed,David Park,Direct,03/27/2024,04/26/2024
OPP-00794,SwiftNode,MPLS,85.17,5 - Accepted,Closed,Jessica Kim,Agent,05/03/2024,08/09/2024
OPP-00797,DigiPath,Managed Services,226.03,Closed Won,Closed,Ryan O'Brien,Direct,12/30/2024,03/11/2025
OPP-00799,TerraLink,Colocation,119.99,Closed Won,Closed,Chris Weber,Direct,11/14/2025,01/16/2026
OPP-00808,CloudFirst,Wavelengths,625.51,5 - Accepted,Closed,Amy Rodriguez,Channel,04/21/2024,06/05/2024
OPP-00810,TerraLink,SD-WAN,377.28,Closed Won,Closed,Jessica Kim,Channel,08/21/2025,11/01/2025
OPP-00812,IronGate Tech,SD-WAN,210.35,Closed Won,Closed,Nicole Foster,Direct,04/25/2025,09/29/2025
OPP-00824,CoreConnect,SD-WAN,73.62,Closed Won,Closed,Jose Banales,Agent,12/16/2024,01/13/2025
