opportunity_id,customer_account,product_group,mrr,stage,forecast_category,rep,sales_channel,created_date,close_date
OPP-00061,OmniConnect,DDoS Protection,225.43,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,10/01/2024,01/04/2025
OPP-00062,DigiPath,Colocation,209.29,Closed Lost,Not In Forecast,Mark Thompson,Direct,01/21/2025,02/08/2025
OPP-00067,LinkStream,SD-WAN,529.79,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,11/10/2024,02/06/2025
OPP-00070,PrimeRoute,Colocation,1364.25,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,04/13/2024,05/21/2024
OPP-00072,SwiftNode,SD-WAN,363.45,Closed Lost,Not In Forecast,Mark Thompson,Agent,02/09/2025,03/22/2025
OPP-00073,SignalBridge,Cloud Connect,1693.9,Closed Lost,Not In Forecast,Chris Weber,Agent,06/26/2025,08/02/2025
OPP-00075,SwiftNode,Dark Fiber,1847.38,Closed Lost,Not In Forecast,Lisa Chen,Channel,04/16/2024,10/09/2024
OPP-00076,SilverStream,Ethernet,577.91,Closed Lost,Not In Forecast,Mark Thompson,Channel,01/10/2025,06/04/2025
OPP-00077,PrimeRoute,DDoS Protection,82.28,Closed Lost,Not In Forecast,Jessica Kim,Channel,08/04/2024,09/05/2024
OPP-00079,WavePoint,Managed Services,352.29,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,09/27/2024,12/12/2024
OPP-00080,Titanium Labs,DDoS Protection,200.87,Closed Lost,Not In Forecast,Lisa Chen,Channel,01/14/2026,03/08/2026
OPP-00085,WavePoint,Ethernet,72.75,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,04/13/2025,10/03/2025
OPP-00086,NexGen Telecom,Managed Services,622.81,Closed Lost,Not In Forecast,Nicole Foster,Direct,06/13/2025,09/24/2025
OPP-00087,CopperLine,SD-WAN,108.97,Closed Lost,Not In Forecast,Chris Weber,Agent,03/20/2025,08/29/2025
OPP-00090,DataSync Labs,MPLS,748.46,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,07/31/2024,12/31/2024
OPP-00101,DigiPath,Dark Fiber,107.02,Closed Lost,Not In Forecast,Mark Thompson,Direct,07/12/2024,08/12/2024
OPP-00102,Pinnacle IT,Managed Services,437.68,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,04/18/2024,05/18/2024
OPP-00103,Pinnacle IT,DDoS Protection,512.15,Closed Lost,Not In Forecast,Chris Weber,Agent,12/24/2024,06/16/2025
OPP-00107,StarForge,Cloud Connect,195.67,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,10/21/2024,12/14/2024
OPP-00110,PrimeRoute,SD-WAN,446.12,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,06/25/2025,10/05/2025
OPP-00111,SignalBridge,Cloud Connect,1027.17,Closed Lost,Not In Forecast,David Park,Agent,12/10/2025,01/06/2026
OPP-00112,Quantum Networks,SD-WAN,60.01,Closed Lost,Not In Forecast,Jessica Kim,Agent,07/12/2024,10/23/2024
OPP-00116,DigiPath,DDoS Protection,111.58,Closed Lost,Not In Forecast,Jose Banales,Channel,09/05/2025,10/10/2025
OPP-00119,RedRock Data,Managed Services,3015.43,Closed Lost,Not In Forecast,Nicole Foster,Agent,08/19/2024,12/24/2024
OPP-00121,DataSync Labs,Dark Fiber,652.17,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,07/04/2025,12/14/2025
OPP-00136,NexGen Telecom,DDoS Protection,493.97,Closed Lost,Not In Forecast,Nicole Foster,Channel,08/27/2025,02/05/2026
OPP-00139,TerraLink,Cloud Connect,85.27,Closed Lost,Not In Forecast,David Park,Agent,07/02/2024,12/12/2024
OPP-00140,ClearPath,IP Transit,3487.7,Closed Lost,Not In Forecast,Jose Banales,Channel,07/21/2025,01/13/2026
OPP-00148,SilverStream,IP Transit,446.19,Closed Lost,Not In Forecast,Jessica Kim,Channel,01/12/2026,03/10/2026
OPP-00149,DigiPath,Dark Fiber,207.89,Closed Lost,Not In Forecast,Mark Thompson,Channel,06/17/2025,08/25/2025
OPP-00150,GoldGrid,SD-WAN,38.43,Closed Lost,Not In Forecast,Jessica Kim,Direct,06/15/2024,09/19/2024
OPP-00153,CoreConnect,MPLS,507.33,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,10/27/2025,11/29/2025
OPP-00154,CoreConnect,Cloud Connect,573.52,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,07/28/2024,11/30/2024
OPP-00157,SignalBridge,MPLS,2030.19,Closed Lost,Not In Forecast,Nicole Foster,Direct,04/16/2024,05/21/2024
OPP-00158,DataSync Labs,MPLS,399.08,Closed Lost,Not In Forecast,David Park,Agent,01/08/2025,07/06/2025
OPP-00159,HorizonIO,Managed Services,120.96,Closed Lost,Not In Forecast,Lisa Chen,Agent,07/06/2025,09/11/2025
OPP-00162,Titanium Labs,Cloud Connect,1905.67,Closed Lost,Not In Forecast,Lisa Chen,Direct,06/18/2024,10/11/2024
OPP-00171,GoldGrid,DDoS Protection,129.18,Closed Lost,Not In Forecast,Mark Thompson,Agent,05/20/2025,07/12/2025
OPP-00176,FlexNet Solutions,Dark Fiber,771.09,Closed Lost,Not In Forecast,David Park,Agent,09/20/2025,12/13/2025
OPP-00181,Atlas Computing,SD-WAN,250.72,Closed Lost,Not In Forecast,Lisa Chen,Direct,02/06/2026,03/12/2026
OPP-00185,GoldGrid,Ethernet,274.7,Closed Lost,Not In Forecast,Lisa Chen,Direct,07/13/2025,12/12/2025
OPP-00186,LinkStream,Ethernet,54.99,Closed Lost,Not In Forecast,Nicole Foster,Direct,05/20/2024,10/22/2024
OPP-00194,NetScale Systems,Wavelengths,307.04,Closed Lost,Not In Forecast,Nicole Foster,Direct,05/14/2024,07/03/2024
OPP-00195,Summit Cloud,SD-WAN,315.61,Closed Lost,Not In Forecast,Lisa Chen,Agent,10/09/2025,02/17/2026
OPP-00200,GridForce,MPLS,193.94,Closed Lost,Not In Forecast,Ryan O'Brien,Direct,07/16/2024,11/30/2024
OPP-00202,OmniConnect,SD-WAN,3811.37,Closed Lost,Not In Forecast,David Park,Channel,02/08/2025,04/16/2025
OPP-00207,GoldGrid,Managed Services,447.26,Closed Lost,Not In Forecast,Jessica Kim,Direct,08/14/2025,12/17/2025
OPP-00209,SkyBridge Networks,DDoS Protection,4867.89,Closed Lost,Not In Forecast,Jessica Kim,Agent,01/16/2026,02/08/2026
OPP-00212,PrimeRoute,Colocation,156.39,Closed Lost,Not In Forecast,Nicole Foster,Agent,10/19/2025,02/10/2026
OPP-00213,EchoPoint,Cloud Connect,429.91,Closed Lost,Not In Forecast,Chris Weber,Agent,05/11/2024,06/20/2024
OPP-00215,PrimeRoute,Managed Services,84.59,Closed Lost,Not In Forecast,Jessica Kim,Direct,04/11/2025,05/17/2025
OPP-00222,TerraLink,Cloud Connect,143.25,Closed Lost,Not In Forecast,Jessica Kim,Channel,10/09/2024,02/23/2025
OPP-00223,Apex Digital,IP Transit,245.17,Closed Lost,Not In Forecast,Chris Weber,Channel,04/24/2025,08/10/2025
OPP-00228,IronGate Tech,Wavelengths,335.85,Closed Lost,Not In Forecast,Jose Banales,Direct,02/11/2026,02/23/2026
OPP-00230,Cascade Networks,Managed Services,236.8,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,07/13/2024,08/02/2024
OPP-00237,SilverStream,IP Transit,503.46,Closed Lost,Not In Forecast,Nicole Foster,Channel,08/08/2024,10/09/2024
OPP-00241,Summit Cloud,Wavelengths,575.86,Closed Lost,Not In Forecast,Nicole Foster,Direct,06/12/2025,11/13/2025
OPP-00243,NexGen Telecom,Ethernet,181.48,Closed Lost,Not In Forecast,Nicole Foster,Agent,10/15/2024,12/21/2024
OPP-00244,CloudFirst,MPLS,1626.24,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,10/25/2025,01/16/2026
OPP-00246,Apex Digital,Ethernet,305.53,Closed Lost,Not In Forecast,Chris Weber,Channel,06/21/2024,10/17/2024
OPP-00251,FiberLink,Dark Fiber,335.53,Closed Lost,Not In Forecast,Lisa Chen,Channel,05/29/2024,08/10/2024
OPP-00252,TerraLink,Wavelengths,110.65,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,08/01/2024,01/27/2025
OPP-00253,WavePoint,Wavelengths,273.34,Closed Lost,Not In Forecast,Ryan O'Brien,Agent,08/20/2024,12/18/2024
OPP-00257,RedRock Data,DDoS Protection,503.62,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,02/15/2026,02/21/2026
OPP-00259,IronGate Tech,DDoS Protection,140.64,Closed Lost,Not In Forecast,Sarah Mitchell,Agent,11/08/2025,02/21/2026
OPP-00263,NetScale Systems,Managed Services,279.87,Closed Lost,Not In Forecast,Jessica Kim,Agent,07/01/2024,12/09/2024
OPP-00264,DigiPath,Ethernet,92.8,Closed Lost,Not In Forecast,Ryan O'Brien,Direct,08/18/2024,10/17/2024
OPP-00267,StarForge,Managed Services,773.68,Closed Lost,Not In Forecast,Jose Banales,Channel,03/30/2025,09/12/2025
OPP-00268,RedRock Data,Ethernet,173.99,Closed Lost,Not In Forecast,Ryan O'Brien,Direct,03/27/2024,07/05/2024
OPP-00269,Acme Corp,DDoS Protection,396.45,Closed Lost,Not In Forecast,David Park,Direct,08/10/2024,11/04/2024
OPP-00270,Quantum Networks,Dark Fiber,516.51,Closed Lost,Not In Forecast,Lisa Chen,Agent,07/29/2024,10/12/2024
OPP-00273,HorizonIO,Managed Services,3702.02,Closed Lost,Not In Forecast,David Park,Direct,04/28/2024,07/07/2024
OPP-00276,ByteWorks,IP Transit,507.07,Closed Lost,Not In Forecast,Lisa Chen,Channel,06/02/2024,06/22/2024
OPP-00277,NetScale Systems,Ethernet,244.85,Closed Lost,Not In Forecast,Jessica Kim,Direct,08/08/2025,08/30/2025
OPP-00282,OmniConnect,MPLS,562.4,Closed Lost,Not In Forecast,Lisa Chen,Direct,05/14/2024,07/24/2024
OPP-00283,Titanium Labs,DDoS Protection,544.42,Closed Lost,Not In Forecast,Amy Rodriguez,Direct,09/26/2024,02/14/2025
OPP-00285,GridForce,IP Transit,659.14,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,07/09/2024,12/05/2024
OPP-00288,FlexNet Solutions,IP Transit,478.11,Closed Lost,Not In Forecast,Mark Thompson,Agent,02/06/2025,07/27/2025
OPP-00289,ByteWorks,MPLS,253.8,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,12/29/2025,02/04/2026
OPP-00290,ClearPath,Managed Services,230.07,Closed Lost,Not In Forecast,Jose Banales,Channel,03/19/2024,04/15/2024
OPP-00292,Titanium Labs,Ethernet,117.18,Closed Lost,Not In Forecast,Mark Thompson,Channel,04/06/2025,06/01/2025
OPP-00293,NetScale Systems,Colocation,845.83,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,01/16/2026,03/14/2026
OPP-00295,FlexNet Solutions,SD-WAN,132.2,Closed Lost,Not In Forecast,Lisa Chen,Direct,05/29/2025,07/05/2025
OPP-00297,Zenith Systems,Managed Services,248.37,Closed Lost,Not In Forecast,Jessica Kim,Agent,12/12/2024,04/18/2025
OPP-00302,Quantum Networks,DDoS Protection,1097.04,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,05/21/2025,07/03/2025
OPP-00303,BluePeak,IP Transit,2981.9,Closed Lost,Not In Forecast,Mark Thompson,Agent,06/29/2024,09/25/2024
OPP-00304,EchoPoint,Cloud Connect,108.41,Closed Lost,Not In Forecast,Chris Weber,Channel,08/12/2024,02/01/2025
OPP-00306,SkyBridge Networks,Dark Fiber,81.23,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,02/09/2025,05/03/2025
OPP-00307,BluePeak,MPLS,3172.84,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,04/04/2025,05/03/2025
OPP-00309,GridForce,SD-WAN,659.85,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,07/31/2025,01/14/2026
OPP-00312,BluePeak,Colocation,497.7,Closed Lost,Not In Forecast,Jose Banales,Agent,12/01/2024,05/20/2025
OPP-00320,FlexNet Solutions,Managed Services,375.78,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,07/18/2024,11/07/2024
OPP-00322,WavePoint,Cloud Connect,268.33,Closed Lost,Not In Forecast,Mark Thompson,Direct,06/23/2025,09/16/2025
OPP-00323,LinkStream,IP Transit,104.88,Closed Lost,Not In Forecast,Nicole Foster,Direct,05/31/2025,09/26/2025
OPP-00327,ByteWorks,IP Transit,183.85,Closed Lost,Not In Forecast,Lisa Chen,Agent,04/25/2024,08/14/2024
OPP-00329,SwiftNode,DDoS Protection,1196.24,Closed Lost,Not In Forecast,Sarah Mitchell,Agent,01/20/2025,05/22/2025
OPP-00333,NetScale Systems,Wavelengths,241.97,Closed Lost,Not In Forecast,David Park,Agent,09/12/2024,10/07/2024
OPP-00339,Cascade Networks,Colocation,151.26,Closed Lost,Not In Forecast,Nicole Foster,Direct,04/16/2025,06/08/2025
OPP-00342,Atlas Computing,Managed Services,84.63,Closed Lost,Not In Forecast,Nicole Foster,Channel,01/16/2026,02/04/2026
OPP-00346,SkyBridge Networks,Wavelengths,50.44,Closed Lost,Not In Forecast,Jose Banales,Direct,09/26/2024,11/10/2024
OPP-00349,Pinnacle IT,Colocation,37.22,Closed Lost,Not In Forecast,Mark Thompson,Agent,11/28/2025,03/05/2026
OPP-00358,Summit Cloud,Wavelengths,3600.76,Closed Lost,Not In Forecast,Chris Weber,Direct,12/18/2025,02/19/2026
OPP-00359,HorizonIO,Managed Services,1360.28,Closed Lost,Not In Forecast,Nicole Foster,Agent,09/02/2025,10/04/2025
OPP-00361,FlexNet Solutions,Ethernet,119.97,Closed Lost,Not In Forecast,Nicole Foster,Agent,11/19/2024,05/17/2025
OPP-00365,LinkStream,DDoS Protection,735.54,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,07/01/2025,10/08/2025
OPP-00372,PulseNet,MPLS,646.57,Closed Lost,Not In Forecast,Jose Banales,Agent,10/06/2024,03/18/2025
OPP-00374,SwiftNode,Cloud Connect,149.42,Closed Lost,Not In Forecast,Nicole Foster,Agent,10/30/2024,04/27/2025
OPP-00378,StarForge,SD-WAN,52.54,Closed Lost,Not In Forecast,Ryan O'Brien,Agent,11/11/2025,02/08/2026
OPP-00380,Summit Cloud,IP Transit,1033.1,Closed Lost,Not In Forecast,Jessica Kim,Direct,03/20/2025,04/14/2025
OPP-00382,Atlas Computing,Dark Fiber,1028.43,Closed Lost,Not In Forecast,Jose Banales,Agent,09/26/2025,03/05/2026
OPP-00383,PulseNet,DDoS Protection,426.24,Closed Lost,Not In Forecast,Chris Weber,Channel,11/01/2024,03/28/2025
OPP-00386,Pinnacle IT,Managed Services,483.16,Closed Lost,Not In Forecast,Jessica Kim,Direct,12/22/2025,03/16/2026
OPP-00395,WavePoint,DDoS Protection,309.48,Closed Lost,Not In Forecast,Nicole Foster,Channel,10/04/2025,03/10/2026
OPP-00400,PulseNet,Managed Services,22.0,Closed Lost,Not In Forecast,Jessica Kim,Direct,08/22/2025,01/16/2026
OPP-00407,PulseNet,Managed Services,2174.19,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,10/08/2024,12/22/2024
OPP-00412,PulseNet,Colocation,232.6,Closed Lost,Not In Forecast,David Park,Direct,10/19/2024,02/18/2025
OPP-00413,SkyBridge Networks,Cloud Connect,4091.88,Closed Lost,Not In Forecast,Chris Weber,Channel,11/14/2024,04/20/2025
OPP-00415,Cascade Networks,Colocation,205.23,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,05/18/2024,07/27/2024
OPP-00423,HorizonIO,Ethernet,431.12,Closed Lost,Not In Forecast,Lisa Chen,Agent,04/22/2024,08/06/2024
OPP-00430,GridForce,Wavelengths,116.34,Closed Lost,Not In Forecast,Mark Thompson,Direct,09/26/2024,01/01/2025
OPP-00431,TechFlow Inc,IP Transit,76.07,Closed Lost,Not In Forecast,Jose Banales,Agent,03/26/2024,06/08/2024
OPP-00438,CloudFirst,Dark Fiber,147.84,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,10/10/2025,02/21/2026
OPP-00443,TerraLink,Ethernet,145.91,Closed Lost,Not In Forecast,Ryan O'Brien,Agent,07/09/2024,08/17/2024
OPP-00446,RedRock Data,Wavelengths,505.15,Closed Lost,Not In Forecast,Jessica Kim,Agent,01/23/2025,02/26/2025
OPP-00449,SignalBridge,IP Transit,1350.28,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,12/26/2025,02/19/2026
OPP-00451,DataSync Labs,SD-WAN,171.24,Closed Lost,Not In Forecast,Nicole Foster,Direct,12/25/2024,05/30/2025
OPP-00453,ByteWorks,SD-WAN,2309.29,Closed Lost,Not In Forecast,David Park,Direct,07/25/2025,09/22/2025
OPP-00456,TerraLink,Dark Fiber,124.02,Closed Lost,Not In Forecast,David Park,Agent,08/21/2024,09/17/2024
OPP-00465,FiberLink,Dark Fiber,2025.07,Closed Lost,Not In Forecast,David Park,Agent,11/19/2025,03/15/2026
OPP-00466,PulseNet,Ethernet,133.61,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,02/22/2025,07/12/2025
OPP-00471,Titanium Labs,IP Transit,1576.33,Closed Lost,Not In Forecast,Amy Rodriguez,Direct,12/30/2025,03/13/2026
OPP-00472,GridForce,Wavelengths,706.86,Closed Lost,Not In Forecast,Mark Thompson,Direct,11/18/2025,01/31/2026
OPP-00480,Apex Digital,Managed Services,143.95,Closed Lost,Not In Forecast,Jose Banales,Direct,09/01/2024,10/17/2024
OPP-00481,Quantum Networks,Wavelengths,530.93,Closed Lost,Not In Forecast,Jessica Kim,Agent,10/02/2025,01/22/2026
OPP-00483,HorizonIO,Managed Services,397.61,Closed Lost,Not In Forecast,David Park,Agent,11/30/2025,03/10/2026
OPP-00487,StarForge,IP Transit,912.58,Closed Lost,Not In Forecast,Jessica Kim,Agent,04/10/2025,05/12/2025
OPP-00492,BluePeak,DDoS Protection,47.34,Closed Lost,Not In Forecast,Jose Banales,Channel,01/27/2025,04/28/2025
OPP-00494,GridForce,Cloud Connect,719.31,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,12/20/2025,02/17/2026
OPP-00496,TechFlow Inc,Ethernet,1166.14,Closed Lost,Not In Forecast,Nicole Foster,Agent,04/06/2025,09/28/2025
OPP-00497,EchoPoint,IP Transit,747.28,Closed Lost,Not In Forecast,Nicole Foster,Agent,04/19/2024,07/12/2024
OPP-00498,BluePeak,Wavelengths,174.59,Closed Lost,Not In Forecast,Jessica Kim,Direct,07/10/2024,10/28/2024
OPP-00499,DataSync Labs,Ethernet,1101.57,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,02/16/2025,04/08/2025
OPP-00503,StarForge,Colocation,33.25,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,01/02/2025,06/12/2025
OPP-00506,Quantum Networks,Managed Services,121.24,Closed Lost,Not In Forecast,Nicole Foster,Direct,01/06/2026,03/02/2026
OPP-00508,RedRock Data,Dark Fiber,202.72,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,10/27/2025,12/13/2025
OPP-00512,RedRock Data,Wavelengths,6819.86,Closed Lost,Not In Forecast,Nicole Foster,Agent,04/10/2025,07/17/2025
OPP-00514,WavePoint,Managed Services,54.34,Closed Lost,Not In Forecast,Ryan O'Brien,Channel,02/11/2026,02/16/2026
OPP-00515,IronGate Tech,Cloud Connect,131.71,Closed Lost,Not In Forecast,Sarah Mitchell,Agent,04/18/2024,07/02/2024
OPP-00521,WavePoint,Colocation,97.51,Closed Lost,Not In Forecast,David Park,Channel,01/26/2026,03/01/2026
OPP-00524,Pinnacle IT,MPLS,250.05,Closed Lost,Not In Forecast,Mark Thompson,Agent,08/17/2025,09/20/2025
OPP-00525,PrimeRoute,SD-WAN,1414.49,Closed Lost,Not In Forecast,Mark Thompson,Agent,11/13/2025,01/05/2026
OPP-00529,Atlas Computing,DDoS Protection,174.07,Closed Lost,Not In Forecast,Jessica Kim,Channel,07/16/2025,10/06/2025
OPP-00530,WavePoint,Colocation,597.39,Closed Lost,Not In Forecast,Chris Weber,Direct,09/13/2025,03/10/2026
OPP-00533,Acme Corp,Dark Fiber,132.61,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,11/30/2024,02/02/2025
OPP-00534,DataSync Labs,Dark Fiber,656.39,Closed Lost,Not In Forecast,Nicole Foster,Direct,11/27/2025,01/14/2026
OPP-00537,VectorData,IP Transit,109.59,Closed Lost,Not In Forecast,Jessica Kim,Direct,08/12/2024,01/12/2025
OPP-00540,Summit Cloud,Managed Services,438.29,Closed Lost,Not In Forecast,Jessica Kim,Channel,07/24/2025,09/08/2025
OPP-00546,DataSync Labs,IP Transit,89.28,Closed Lost,Not In Forecast,Jessica Kim,Agent,04/01/2024,05/30/2024
OPP-00548,IronGate Tech,Cloud Connect,59.15,Closed Lost,Not In Forecast,Chris Weber,Channel,09/06/2024,12/24/2024
OPP-00552,GoldGrid,Wavelengths,75.49,Closed Lost,Not In Forecast,David Park,Channel,06/23/2024,12/13/2024
OPP-00553,SkyBridge Networks,Colocation,227.96,Closed Lost,Not In Forecast,Ryan O'Brien,Direct,08/17/2024,12/31/2024
OPP-00556,CopperLine,MPLS,216.05,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,11/06/2024,12/16/2024
OPP-00558,GoldGrid,Managed Services,199.86,Closed Lost,Not In Forecast,Mark Thompson,Channel,10/21/2025,11/20/2025
OPP-00561,Atlas Computing,SD-WAN,173.22,Closed Lost,Not In Forecast,Jose Banales,Agent,11/13/2025,01/05/2026
OPP-00562,Titanium Labs,Dark Fiber,313.39,Closed Lost,Not In Forecast,Chris Weber,Direct,06/26/2024,11/03/2024
OPP-00565,Zenith Systems,IP Transit,187.48,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,09/12/2025,10/05/2025
OPP-00570,Cascade Networks,Wavelengths,345.0,Closed Lost,Not In Forecast,Jessica Kim,Agent,02/05/2026,03/08/2026
OPP-00575,HorizonIO,IP Transit,146.7,Closed Lost,Not In Forecast,David Park,Direct,09/04/2024,02/24/2025
OPP-00577,SwiftNode,SD-WAN,5.33,Closed Lost,Not In Forecast,Amy Rodriguez,Direct,09/15/2025,12/16/2025
OPP-00580,CoreConnect,Colocation,356.9,Closed Lost,Not In Forecast,Sarah Mitchell,Channel,05/13/2024,10/30/2024
OPP-00582,Quantum Networks,Colocation,1504.18,Closed Lost,Not In Forecast,Chris Weber,Direct,08/16/2024,12/18/2024
OPP-00588,DigiPath,SD-WAN,247.88,Closed Lost,Not In Forecast,Chris Weber,Direct,11/21/2025,03/08/2026
OPP-00590,SignalBridge,MPLS,295.9,Closed Lost,Not In Forecast,Jose Banales,Direct,03/22/2025,07/22/2025
OPP-00591,OmniConnect,Dark Fiber,789.64,Closed Lost,Not In Forecast,David Park,Channel,06/22/2024,12/07/2024
OPP-00597,Quantum Networks,DDoS Protection,1394.12,Closed Lost,Not In Forecast,Sarah Mitchell,Direct,05/17/2024,09/29/2024
OPP-00599,PrimeRoute,MPLS,407.83,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,10/31/2025,11/18/2025
OPP-00600,Cascade Networks,Ethernet,123.05,Closed Lost,Not In Forecast,Lisa Chen,Channel,07/17/2025,11/02/2025
OPP-00602,DigiPath,Managed Services,456.05,Closed Lost,Not In Forecast,Sarah Mitchell,Agent,02/16/2025,07/07/2025
OPP-00606,NetScale Systems,Cloud Connect,767.07,Closed Lost,Not In Forecast,Lisa Chen,Channel,11/03/2025,03/09/2026
OPP-00610,GridForce,SD-WAN,74.87,Closed Lost,Not In Forecast,Jessica Kim,Channel,04/14/2025,08/22/2025
OPP-00612,HorizonIO,DDoS Protection,287.01,Closed Lost,Not In Forecast,Jessica Kim,Direct,08/18/2025,09/16/2025
OPP-00615,IronGate Tech,Cloud Connect,182.33,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,06/12/2024,07/13/2024
OPP-00620,FiberLink,MPLS,320.56,Closed Lost,Not In Forecast,Amy Rodriguez,Channel,06/04/2024,09/04/2024
OPP-00622,TechFlow Inc,Colocation,107.83,Closed Lost,Not In Forecast,Mark Thompson,Agent,12/07/2025,02/16/2026
OPP-00625,DigiPath,IP Transit,12.73,Closed Lost,Not In Forecast,Lisa Chen,Direct,05/24/2025,11/20/2025
OPP-00628,Quantum Networks,DDoS Protection,525.48,Closed Lost,Not In Forecast,Mark Thompson,Direct,09/06/2025,11/24/2025
OPP-00629,RedRock Data,Wavelengths,5451.72,Closed Lost,Not In Forecast,Lisa Chen,Agent,11/14/2024,03/17/2025
OPP-00631,SkyBridge Networks,Wavelengths,149.61,Closed Lost,Not In Forecast,Amy Rodriguez,Agent,01/27/2025,02/16/2025
OPP-00633,DigiPath,Colocation,855.83,Closed Lost,Not In Forecast,Lisa Chen,Channel,08/29/2024,01/03/2025
OPP-00636,PulseNet,Managed Services,480.83,Closed Lost,Not In Forecast,Mark Thompson,Direct,11/28/2024,04/24/2025
OPP-00637,CoreConnect,MPLS,83.4,Closed Lost,Not In Forecast,Chris Weber,Channel,02/16/2025,05/14/2025
OPP-00638,GridForce,Wavelengths,550.35,Closed Lost,Not In Forecast,Chris Weber,Channel,11/07/2024,12/14/2024
